trade_date,close,open,high,low,vol,pct_chg
20130424,3495.3,3469.2,3514.05,3458.4,3.90K,0.9
20130425,3425.38,3480.34,3480.34,3413.52,4.46K,-2.0
20130426,3419.26,3428.46,3453.74,3409.91,2.94K,-0.18
20130403,3446.69,3495.94,3512.53,3427.15,3.39K,-1.31
20130408,3416.35,3378.88,3416.35,3348.3,3.31K,-0.88
20130409,3462.57,3421.16,3484.8,3421.16,3.48K,1.35
20130510,3574.28,3533.55,3574.97,3525.94,2.96K,0.86
20130513,3545.3,3578.52,3583.13,3525.89,2.90K,-0.81
20130514,3502.43,3541.22,3541.22,3482.2,3.41K,-1.21
20130515,3530.79,3511.49,3546.65,3508.11,4.06K,0.81
20130516,3653.04,3527.39,3653.04,3515.04,6.15K,3.46
20130517,3769.21,3657.88,3782.01,3657.88,9.56K,3.18
20130502,3464.82,3408.53,3466.63,3396.65,3.05K,1.33
20130520,3767.83,3803.33,3845.56,3761.37,8.30K,-0.04
20130521,3817.19,3766.09,3817.19,3760.39,6.16K,1.31
20130522,3849.86,3808.37,3898.65,3797.12,7.51K,0.86
20130523,3816.98,3833.01,3895.99,3798.8,7.46K,-0.85
20130524,3826.71,3813.69,3845.88,3780.02,5.27K,0.25
20130527,3818.1,3812.07,3821.31,3788.83,4.72K,-0.22
20130528,3948.28,3812.71,3948.28,3801.84,7.71K,3.41
20130529,3962.19,3954.03,4006.5,3954.03,8.03K,0.35
20130503,3531.07,3492.3,3565.49,3482.53,4.76K,1.91
20130530,3936.86,3939.97,3961.97,3916.23,4.91K,-0.64
20130531,3857.01,3936.41,3952.43,3855.76,5.06K,-2.03
20130506,3553.74,3534.72,3564.1,3516.32,4.01K,0.64
20130507,3584.84,3542.25,3593.1,3538.75,3.80K,0.88
20130508,3589.93,3610.9,3643.67,3578.78,3.85K,0.14
20130509,3543.64,3582.87,3583.99,3513.07,4.03K,-1.29
20130613,3532.99,3629.46,3629.46,3509.37,4.93K,-3.8
20130614,3573.67,3540.29,3579.8,3533.49,3.59K,1.15
20130617,3532.6,3574.83,3581.36,3484.46,4.64K,-1.15
20130618,3567.41,3534.79,3567.95,3514.95,3.58K,0.99
20130619,3534.26,3549.99,3549.99,3483.07,4.02K,-0.93
20130620,3420.0,3518.94,3543.06,3418.56,3.80K,-3.23
20130621,3401.35,3364.91,3422.89,3332.28,3.87K,-0.55
20130624,3138.68,3393.43,3393.43,3120.37,6.48K,-7.72
20130625,3078.82,3098.64,3127.61,2873.85,7.00K,-1.91
20130626,3115.82,3106.3,3133.79,3049.82,5.30K,1.2
20130627,3138.92,3133.62,3209.65,3133.62,5.99K,0.74
20130628,3269.05,3150.92,3327.44,3140.02,8.44K,4.15
20130603,3873.23,3856.51,3926.7,3856.51,4.70K,0.42
20130604,3832.28,3877.6,3886.98,3798.5,5.28K,-1.06
20130605,3846.67,3825.55,3846.67,3794.35,3.88K,0.38
20130606,3754.26,3831.41,3838.51,3749.32,4.36K,-2.4
20130607,3672.7,3749.89,3763.1,3652.85,4.34K,-2.17
20130701,3277.23,3237.12,3279.39,3204.22,4.46K,0.25
20130710,3402.98,3263.16,3402.98,3255.7,5.46K,4.74
20130711,3549.46,3420.57,3599.29,3420.57,9.68K,4.3
20130712,3485.8,3561.98,3578.68,3480.2,6.06K,-1.79
20130715,3518.42,3503.84,3557.35,3454.21,4.95K,0.94
20130716,3520.05,3502.95,3525.09,3438.97,5.25K,0.05
20130717,3510.83,3490.43,3573.35,3455.92,6.57K,-0.26
20130718,3460.26,3503.46,3532.61,3453.29,5.02K,-1.44
20130719,3302.73,3464.78,3472.88,3302.73,6.37K,-4.55
20130702,3264.79,3271.64,3286.89,3217.05,4.62K,-0.38
20130722,3304.68,3283.39,3319.12,3262.25,3.84K,0.06
20130723,3423.12,3311.53,3428.86,3309.92,5.01K,3.58
20130724,3368.98,3399.72,3408.89,3313.73,4.75K,-1.58
20130725,3354.38,3379.2,3396.87,3340.28,3.83K,-0.43
20130726,3336.04,3346.09,3376.12,3317.75,3.07K,-0.55
20130729,3241.54,3314.94,3314.94,3227.1,4.68K,-2.83
20130703,3198.64,3249.22,3249.22,3132.09,4.60K,-2.03
20130730,3287.4,3246.14,3336.91,3219.88,4.17K,1.41
20130731,3363.09,3422.95,3473.83,3355.02,6.60K,2.3
20130704,3276.32,3174.03,3314.31,3158.94,5.39K,2.43
20130705,3350.84,3314.99,3432.68,3314.99,6.76K,2.27
20130708,3281.79,3312.7,3366.64,3278.64,5.06K,-2.06
20130709,3248.97,3276.86,3304.51,3221.65,3.82K,-1.0
20130801,3432.9,3367.16,3444.95,3366.64,4.98K,2.08
20130812,3625.51,3566.26,3625.51,3562.54,6.20K,2.24
20130813,3654.83,3636.17,3656.56,3629.05,7.50K,0.81
20130814,3643.75,3660.89,3689.8,3632.54,6.61K,-0.3
20130815,3589.01,3638.01,3651.92,3587.34,4.82K,-1.5
