trade_date,close,open,high,low,vol,pct_chg
20161128,3277.0,3270.05,3288.34,3267.67,28.16B,0.46
20161129,3282.92,3269.23,3301.21,3263.4,32.08B,0.18
20161103,3128.94,3096.76,3140.93,3094.1,22.30B,0.84
20161130,3250.03,3272.14,3277.27,3239.52,24.36B,-1.0
20161104,3125.32,3126.35,3141.33,3119.54,19.77B,-0.12
20161107,3133.33,3124.89,3139.2,3117.1,17.94B,0.26
20161108,3147.89,3140.94,3156.88,3134.95,19.08B,0.46
20161109,3128.37,3146.08,3146.95,3096.95,24.11B,-0.62
20161201,3273.31,3257.03,3279.67,3256.26,23.78B,0.72
20161212,3152.97,3233.67,3245.09,3149.9,27.47B,-2.47
20161213,3155.04,3138.99,3162.5,3118.71,18.52B,0.07
20161214,3140.53,3149.38,3170.02,3136.35,20.14B,-0.46
20161215,3117.68,3125.76,3138.78,3100.91,19.00B,-0.73
20161216,3122.98,3111.51,3128.87,3106.35,16.50B,0.17
20161219,3118.08,3120.7,3125.28,3110.08,15.42B,-0.16
20161202,3243.84,3270.12,3279.71,3235.28,25.96B,-0.9
20161220,3102.88,3115.9,3117.01,3084.8,15.74B,-0.49
20161221,3137.43,3107.24,3140.25,3107.24,18.67B,1.11
20161222,3139.56,3132.16,3143.17,3126.89,16.78B,0.07
20161223,3110.15,3134.93,3138.4,3103.75,16.62B,-0.94
20161226,3122.57,3095.58,3122.88,3068.41,15.26B,0.4
20161227,3114.66,3117.39,3127.88,3113.75,14.15B,-0.25
20161228,3102.24,3113.77,3118.78,3094.55,13.57B,-0.4
20161229,3096.1,3095.84,3111.8,3087.34,13.26B,-0.2
20161230,3103.64,3097.35,3108.84,3089.99,13.33B,0.24
20161205,3204.71,3203.78,3219.52,3194.88,22.30B,-1.21
20161206,3199.65,3202.03,3215.31,3196.52,15.76B,-0.16
20161207,3222.24,3198.47,3222.43,3189.49,16.91B,0.71
20161208,3215.37,3225.55,3228.12,3211.47,17.07B,-0.21
20161209,3232.88,3209.34,3244.8,3207.04,20.40B,0.54
20160201,2688.85,2730.98,2735.26,2655.62,15.64B,-1.78
20160215,2746.2,2684.96,2760.36,2682.09,12.93B,-0.63
20160216,2836.57,2758.58,2840.62,2758.58,19.60B,3.29
20160217,2867.34,2829.76,2868.7,2824.36,21.69B,1.08
20160218,2862.89,2881.78,2893.21,2857.7,21.92B,-0.16
20160219,2860.02,2854.9,2872.72,2840.49,16.34B,-0.1
20160202,2749.57,2687.98,2755.16,2687.98,15.81B,2.26
20160222,2927.18,2888.6,2933.96,2880.35,23.22B,2.35
20160223,2903.33,2925.71,2928.05,2872.28,19.97B,-0.81
20160224,2928.9,2889.88,2929.87,2872.27,21.34B,0.88
20160225,2741.25,2922.24,2922.24,2729.85,27.03B,-6.41
20160226,2767.21,2760.06,2784.75,2715.87,19.11B,0.95
20160229,2687.98,2754.81,2755.89,2638.96,20.74B,-2.86
20160203,2739.25,2719.57,2746.07,2696.88,14.84B,-0.38
20160204,2781.02,2751.43,2793.3,2751.31,17.04B,1.52
20160205,2763.49,2783.08,2790.06,2762.16,14.12B,-0.63
20160301,2733.17,2688.38,2747.56,2668.76,18.72B,1.68
20160310,2804.73,2847.57,2863.18,2803.48,13.90B,-2.02
20160311,2810.31,2781.6,2815.61,2772.55,12.72B,0.2
20160314,2859.5,2830.08,2889.82,2823.03,19.48B,1.75
