trade_date,close,open,high,low
2000-05-31,1894.55,1848.17,1908.31,1695.53
2000-06-30,1928.11,1900.53,1953.34,1884.62
2000-07-31,2023.54,1917.44,2025.0,1888.25
2000-08-31,2021.2,2027.01,2114.52,1980.35
2000-09-30,1910.16,2009.15,2026.35,1874.21
2000-10-31,1961.29,1912.08,1980.63,1896.94
2000-11-30,2070.61,1961.08,2125.72,1959.72
2000-12-31,2073.48,2073.09,2097.29,2024.29
2001-01-31,2065.61,2077.08,2131.98,2007.71
2001-02-28,1959.18,2069.86,2072.55,1893.78
2001-03-31,2112.78,1959.01,2112.88,1953.72
2001-04-30,2119.18,2117.45,2179.74,2081.64
2001-05-31,2214.26,2119.9,2222.65,2119.89
2001-06-30,2218.03,2216.56,2245.43,2157.12
2001-07-31,1920.32,2220.42,2223.21,1909.3
2001-08-31,1834.14,1925.24,1990.7,1795.57
2001-09-30,1764.87,1831.7,1888.9,1750.76
2001-10-31,1689.17,1766.13,1773.8,1514.86
2001-11-30,1747.99,1692.35,1748.0,1550.46
2001-12-31,1645.97,1751.05,1776.02,1593.03
2002-01-31,1491.66,1643.48,1643.5,1339.2
2002-02-28,1524.7,1494.58,1544.92,1476.13
2002-03-31,1603.9,1521.53,1693.87,1494.83
2002-04-30,1667.75,1598.03,1680.3,1575.97
2002-05-31,1515.73,1669.87,1670.92,1506.54
2002-06-30,1732.76,1510.25,1748.89,1455.31
2002-07-31,1651.59,1736.29,1741.92,1647.27
2002-08-31,1666.62,1650.05,1696.28,1624.05
2002-09-30,1581.62,1666.34,1680.28,1577.53
2002-10-31,1507.5,1577.05,1577.05,1488.68
2002-11-30,1434.18,1507.38,1573.1,1353.14
2002-12-31,1357.65,1432.03,1439.85,1348.71
2003-01-31,1499.82,1347.43,1508.59,1311.68
2003-02-28,1511.93,1499.17,1524.75,1474.47
2003-03-31,1510.58,1511.59,1529.75,1447.01
2003-04-30,1521.44,1513.0,1649.6,1473.27
2003-05-31,1576.26,1522.98,1581.61,1477.25
2003-06-30,1486.02,1577.99,1582.41,1483.69
2003-07-31,1476.74,1485.52,1540.19,1464.87
2003-08-31,1421.98,1476.47,1497.1,1406.68
2003-09-30,1367.16,1423.35,1456.55,1348.22
2003-10-31,1348.3,1366.2,1411.88,1334.78
2003-11-30,1397.22,1346.48,1423.58,1307.39
2003-12-31,1497.04,1398.71,1525.3,1398.71
2004-01-31,1590.73,1492.72,1634.41,1491.69
2004-02-29,1675.07,1630.65,1730.28,1585.96
2004-03-31,1741.62,1676.22,1760.08,1634.71
2004-04-30,1595.59,1744.71,1783.01,1572.23
2004-05-31,1555.91,1600.63,1606.07,1508.64
2004-06-30,1399.16,1555.56,1580.57,1376.22
2004-07-31,1386.2,1398.2,1466.78,1366.5
2004-08-31,1342.06,1381.88,1424.55,1310.02
2004-09-30,1396.7,1340.75,1496.21,1259.43
2004-10-31,1320.54,1395.67,1437.57,1289.87
2004-11-30,1340.77,1317.66,1387.34,1290.99
2004-12-31,1266.5,1340.92,1352.45,1264.15
2005-01-31,1191.82,1260.78,1268.86,1189.21
2005-02-28,1306.0,1189.5,1328.53,1187.26
2005-03-31,1181.24,1305.25,1326.08,1162.03
2005-04-30,1159.15,1180.37,1254.32,1135.73
2005-05-31,1060.74,1160.62,1165.39,1043.28
2005-06-30,1080.94,1059.61,1146.42,998.23
2005-07-31,1083.03,1077.31,1097.63,1004.08
2005-08-31,1162.8,1082.8,1201.76,1081.12
2005-09-30,1155.61,1163.7,1223.57,1129.05
2005-10-31,1092.82,1153.67,1165.67,1067.41
2005-11-30,1099.26,1091.68,1122.88,1074.3
2005-12-31,1161.06,1098.78,1173.06,1074.01
2006-01-31,1258.05,1163.88,1262.09,1161.91
2006-02-28,1299.03,1251.27,1304.61,1245.92
2006-03-31,1298.3,1299.15,1313.12,1238.16
2006-04-30,1440.22,1298.68,1444.71,1298.68
2006-05-31,1641.3,1446.99,1678.6,1446.99
2006-06-30,1672.21,1639.67,1695.58,1512.52
2006-07-31,1612.73,1677.31,1757.47,1611.16
2006-08-31,1658.64,1619.63,1667.53,1541.41
2006-09-30,1752.42,1658.66,1755.69,1634.03
2006-10-31,1837.99,1768.14,1842.73,1753.49
2006-11-30,2099.29,1838.68,2102.06,1833.2
2006-12-31,2675.47,2106.3,2698.9,2084.27
2007-01-31,2786.34,2728.19,2994.28,2617.02
2007-02-28,2881.07,2744.81,3049.77,2541.53
2007-03-31,3183.98,2877.2,3273.73,2723.07
2007-04-30,3841.27,3196.59,3851.35,3196.59
2007-05-31,4109.65,3937.94,4335.96,3845.23
2007-06-30,3820.7,4120.63,4312.0,3404.15
2007-07-31,4471.03,3800.23,4476.63,3563.54
2007-08-31,5218.82,4488.77,5235.16,4284.87
2007-09-30,5552.3,5257.78,5560.42,5025.34
2007-10-31,5954.77,5683.31,6124.04,5462.01
2007-11-30,4871.78,5978.94,6005.13,4778.73
2007-12-31,5261.56,4838.56,5336.5,4798.01
2008-01-31,4383.39,5265.0,5522.78,4330.7
2008-02-29,4348.54,4388.25,4695.8,4123.31
2008-03-31,3472.71,4323.7,4472.15,3357.23
2008-04-30,3693.11,3461.09,3705.09,2990.79
2008-05-31,3433.35,3739.8,3786.02,3333.95
2008-06-30,2736.1,3426.2,3483.61,2693.4
2008-07-31,2775.72,2743.16,2952.04,2566.53
2008-08-31,2397.37,2751.02,2830.76,2284.59
2008-09-30,2293.78,2380.47,2380.47,1802.33
2008-10-31,1728.79,2267.39,2267.39,1664.92
2008-11-30,1871.16,1713.76,2050.88,1678.96
2008-12-31,1820.81,1865.74,2100.81,1814.75
2009-01-31,1990.66,1849.02,2018.51,1844.09
2009-02-28,2082.85,2008.13,2402.81,1987.13
2009-03-31,2373.21,2066.23,2392.77,2037.02
2009-04-30,2477.57,2380.98,2579.22,2331.88
2009-05-31,2632.93,2486.68,2688.11,2486.22
2009-06-30,2959.36,2668.4,2997.27,2668.4
2009-07-31,3412.06,2950.17,3454.02,2947.69
2009-08-31,2667.74,3429.69,3478.01,2663.0
2009-09-30,2779.43,2649.17,3068.03,2639.76
2009-10-31,2995.85,2840.13,3123.46,2834.62
2009-11-30,3195.3,2933.82,3361.39,2923.53
2009-12-31,3277.14,3191.06,3334.01,3039.86
2010-01-31,2989.29,3289.75,3306.75,2963.89
2010-02-28,3051.94,2981.37,3067.53,2890.02
2010-03-31,3109.11,3057.01,3132.58,2963.44
2010-04-30,2870.61,3111.93,3181.66,2820.95
2010-05-31,2592.15,2821.35,2862.55,2481.97
2010-06-30,2398.37,2577.76,2598.9,2382.36
2010-07-31,2637.5,2393.95,2656.41,2319.74
2010-08-31,2638.8,2635.81,2701.93,2564.84
2010-09-30,2655.66,2641.05,2704.93,2573.63
2010-10-31,2978.83,2681.25,3073.38,2677.99
2010-11-30,2820.18,2986.89,3186.72,2758.92
2010-12-31,2808.08,2810.54,2939.05,2721.48
2011-01-31,2790.69,2825.33,2868.01,2661.45
2011-02-28,2905.05,2795.07,2944.41,2760.18
2011-03-31,2928.11,2906.28,3012.04,2850.94
2011-04-30,2911.51,2932.48,3067.46,2871.01
2011-05-31,2743.47,2911.51,2933.46,2689.21
2011-06-30,2762.08,2737.06,2774.37,2610.99
2011-07-31,2701.73,2767.83,2826.96,2677.12
2011-08-31,2567.34,2697.57,2712.89,2437.68
2011-09-30,2359.22,2569.8,2584.8,2348.22
2011-10-31,2468.25,2363.08,2483.76,2307.15
2011-11-30,2333.41,2450.33,2536.78,2319.44
2011-12-31,2199.42,2392.48,2423.56,2134.02
2012-01-31,2292.61,2212.0,2324.49,2132.63
2012-02-29,2428.49,2288.07,2478.38,2263.34
2012-03-31,2262.79,2418.79,2476.22,2242.34
2012-04-30,2396.32,2258.03,2415.75,2251.39
2012-05-31,2372.23,2421.08,2453.73,2309.07
2012-06-30,2225.43,2373.22,2388.09,2188.72
2012-07-31,2103.63,2234.32,2244.83,2100.25
2012-08-31,2047.52,2101.72,2176.8,2032.54
2012-09-30,2086.17,2044.82,2145.0,1999.48
2012-10-31,2068.88,2084.85,2138.03,2053.09
2012-11-30,1980.12,2070.02,2123.33,1959.33
2012-12-31,2269.13,1977.25,2269.51,1949.46
2013-01-31,2385.42,2289.51,2391.82,2234.95
2013-02-28,2365.59,2377.41,2444.8,2289.89
2013-03-31,2236.62,2364.54,2369.65,2228.81
2013-04-30,2177.91,2229.46,2253.42,2165.78
2013-05-31,2300.59,2170.78,2334.33,2161.14
2013-06-30,1979.21,2300.21,2313.43,1849.65
2013-07-31,1993.8,1965.99,2092.87,1946.37
2013-08-31,2098.38,2000.82,2198.85,1997.06
2013-09-30,2174.66,2104.09,2270.27,2078.46
2013-10-31,2141.61,2171.9,2242.98,2093.2
2013-11-30,2220.5,2139.88,2234.39,2078.99
2013-12-31,2115.98,2203.12,2260.87,2068.54
2014-01-31,2033.08,2112.13,2113.11,1984.82
2014-02-28,2056.3,2022.32,2177.98,2014.38
2014-03-31,2033.31,2052.08,2079.55,1974.38
2014-04-30,2026.36,2031.0,2146.67,1997.64
2014-05-31,2039.21,2022.18,2061.06,1991.06
2014-06-30,2048.33,2039.2,2087.32,2010.53
2014-07-31,2201.56,2051.22,2202.13,2033.0
2014-08-31,2217.2,2194.17,2248.94,2180.6
2014-09-30,2363.87,2220.13,2365.49,2217.68
2014-10-31,2420.18,2368.58,2423.6,2279.84
2014-11-30,2682.83,2425.22,2683.18,2401.75
2014-12-31,3234.68,2691.72,3239.36,2665.69
2015-01-31,3210.36,3258.63,3406.79,3095.07
2015-02-28,3310.3,3148.14,3324.55,3049.11
2015-03-31,3747.9,3332.72,3835.57,3198.37
2015-04-30,4441.66,3748.34,4572.39,3742.21
2015-05-31,4611.74,4441.34,4986.5,4099.04
2015-06-30,4277.22,4633.1,5178.19,3847.88
2015-07-31,3663.73,4214.15,4317.05,3373.54
2015-08-31,3205.99,3614.99,4006.34,2850.71
2015-09-30,3052.78,3157.83,3256.74,2983.54
2015-10-31,3382.56,3156.07,3457.52,3133.13
2015-11-30,3445.4,3337.58,3678.27,3302.18
2015-12-31,3539.18,3442.44,3684.57,3399.28
2016-01-31,2737.6,3536.59,3538.69,2638.3
2016-02-29,2687.98,2730.98,2933.96,2638.96
2016-03-31,3003.92,2688.38,3028.32,2668.76
2016-04-30,2938.32,2997.09,3097.16,2905.05
2016-05-31,2916.62,2940.39,3004.42,2780.76
2016-06-30,2929.61,2917.15,2945.94,2807.6
2016-07-31,2979.34,2931.8,3069.05,2922.52
2016-08-31,3085.49,2971.95,3140.44,2931.96
2016-09-30,3004.7,3083.96,3105.68,2969.13
2016-10-31,3100.49,3020.46,3137.03,3014.62
2016-11-30,3250.03,3101.66,3301.21,3094.1
2016-12-31,3103.64,3257.03,3279.71,3068.41
2017-01-31,3159.17,3105.31,3174.58,3044.29
2017-02-28,3241.73,3160.08,3264.08,3132.03
2017-03-31,3222.51,3240.07,3283.24,3193.16
2017-04-30,3154.66,3235.66,3295.19,3097.33
2017-05-31,3117.18,3147.23,3154.78,3016.53
2017-06-30,3192.43,3108.42,3193.46,3078.79
2017-07-31,3273.03,3192.0,3276.95,3139.5
2017-08-31,3360.81,3274.37,3376.65,3200.75
2017-09-30,3348.94,3365.99,3391.64,3332.6
2017-10-31,3393.34,3403.25,3421.1,3357.28
2017-11-30,3317.19,3393.97,3450.49,3300.78
2017-12-31,3307.17,3315.11,3324.52,3254.18
2018-01-31,3480.83,3314.03,3587.03,3314.03
2018-02-28,3259.41,3478.67,3495.09,3062.74
2018-03-31,3168.9,3235.09,3333.88,3091.46
2018-04-30,3082.23,3169.78,3220.85,3041.62
2018-05-31,3095.47,3087.41,3219.74,3041.0
2018-06-30,2847.42,3084.75,3128.72,2782.38
2018-07-31,2876.4,2841.58,2915.3,2691.02
2018-08-31,2725.25,2882.51,2897.4,2653.11
2018-09-30,2821.35,2716.4,2827.34,2644.3
2018-10-31,2602.78,2768.21,2771.94,2449.2
2018-11-30,2588.19,2617.03,2703.51,2555.32
2018-12-31,2493.9,2647.13,2666.08,2462.84
2019-01-31,2584.57,2497.88,2630.32,2440.91
2019-02-28,2940.95,2597.78,2997.49,2590.55
2019-03-31,3090.76,2954.4,3129.94,2930.83
2019-04-30,3078.34,3111.66,3288.45,3050.03
2019-05-31,2898.7,2984.73,2986.54,2833.04
2019-06-30,2978.88,2901.74,3012.83,2822.19
2019-07-31,2932.51,3024.62,3048.48,2879.69
2019-08-31,2886.24,2920.85,2927.34,2733.92
2019-09-30,2905.19,2886.94,3042.93,2883.68
2019-10-31,2929.06,2905.76,3026.38,2891.54
2019-11-30,2871.98,2924.34,3008.31,2858.58
2019-12-31,3050.12,2874.45,3051.68,2857.32
2020-01-31,2976.53,3066.34,3127.17,2955.35
2020-02-29,2880.3,2716.7,3058.9,2685.27
2020-03-31,2750.3,2899.31,3074.26,2646.8
2020-04-30,2860.08,2743.54,2865.59,2719.9
2020-05-31,2852.35,2831.63,2914.28,2802.47
2020-06-30,2984.67,2871.96,2990.83,2871.96
2020-07-31,3310.01,2991.18,3458.79,2984.98
2020-08-31,3395.68,3332.18,3456.72,3263.27
2020-09-30,3218.05,3389.74,3425.63,3202.34
2020-10-31,3224.53,3262.61,3371.09,3219.42
2020-11-30,3391.76,3228.72,3456.74,3209.91
2020-12-31,3473.07,3388.99,3474.92,3325.17
2021-01-31,3483.07,3474.68,3637.1,3446.55
2021-02-28,3509.08,3477.17,3731.69,3465.77
2021-03-31,3441.91,3531.48,3577.62,3328.31
2021-04-30,3446.86,3444.81,3497.12,3373.09
2021-05-31,3615.48,3446.07,3626.36,3384.7
2021-06-30,3591.2,3608.6,3629.29,3503.18
2021-07-31,3397.36,3600.55,3607.7,3312.72
2021-08-31,3543.94,3385.69,3544.09,3367.64
2021-09-30,3568.17,3543.87,3723.85,3514.67
2021-10-31,3547.34,3609.09,3625.02,3502.8
2021-11-30,3563.89,3530.4,3602.74,3448.44
2021-12-31,3639.78,3561.89,3708.94,3558.69
2022-01-31,3361.44,3649.15,3651.89,3356.56
2022-02-28,3462.31,3407.76,3500.15,3390.46
2022-03-31,3252.2,3471.36,3500.29,3023.3
2022-04-30,3047.06,3234.67,3290.26,2863.65
2022-05-31,3186.43,3044.85,3188.6,2957.4
2022-06-30,3398.62,3179.69,3417.01,3160.04
2022-07-31,3253.24,3400.26,3424.84,3226.23
2022-08-31,3202.14,3246.62,3296.0,3155.19
2022-09-30,3024.39,3196.54,3278.17,3021.93
2022-10-31,2893.48,3026.94,3099.92,2885.09
2022-11-30,3151.34,2899.5,3158.57,2896.76
2022-12-31,3089.26,3187.99,3226.08,3031.54
2023-01-31,3156.98,3087.51,3157.93,3073.05
